id,chapter,Question,Answer
190,"Chapter 2","What is a fuel injection system, and what are its advantages and disadvantages?","A fuel injection system delivers metered fuel directly into the induction manifold and then into the combustion chamber... Advantages: Freedom from vaporization ice, uniform delivery, improved control, etc. Disadvantages: Vapor locking, susceptibility to contamination."
191,"Chapter 2","What are thrust reverses, and how do they work?","Thrust reverses on jet/gas turbine engine reverse the airflow forward, thereby creating a breaking action."
192,"Chapter 2","Describe maximum takeoff thrust and its limitations.","Maximum takeoff thrust is simply the maximum permissible engine thrust setting for takeoff. Time limit: 5 minutes for all engines working and 10 minutes with an engine failure."
193,"Chapter 2","Describe maximum continuous thrust.","Maximum continuous thrust is simply the maximum permissible engine thrust setting for continuous use."
194,"Chapter 2","What is the compression ratio of a gas turbine engine?","The compression ratio of a gas turbine engine is a ratio measure of the change in air pressure between the inlet and outlet parts of either an individual compressor stage or the complete compressor section."
195,"Chapter 2","What is the principle of the bypass engine?","The principle of the bypass engine is an extension of the gas turbine engine that permits the use of higher turbine temperatures to increase thrust without a corresponding increase in jet velocity by increasing the air mass/volume intake and discharge via bypass ducts."
196,"Chapter 2","What is bypass ratio?","Bypass ratio in an early single or twin-spool bypass engine is the ratio of the cool air mass flow passed through the bypass duct to the air mass flow passed through the high-pressure system."
197,"Chapter 2","Describe the fan engine and its advantages.","The fan engine can be regarded as an extension of the bypass engine principle... The turbine-driven fan is in fact a low-pressure axial-flow compressor that provides additional thrust. Advantages: Smaller size, better propulsive efficiency, better SFC, reduced noise, contamination protection."
198,"Chapter 2","What are the advantages of a wide-chord fan engine?","The advantage of a wide-chord fan engine is its ability to optimize the separate thrust properties of the bypass air mass and the engine-core air mass from a single rotating blade row."
199,"Chapter 2","Describe a triple-spool turbofan engine, e.g., the RB211, and its advantages.","A triple-spool turbofan engine... has three independent compressor spools (N1, N2, N3). Advantages: Fan compressor closer to optimal design, spools work closer to optimal performance, flexibility, higher thrust, easier to start, modular assembly."
200,"Chapter 2","Why is a fan engine flat rated?","The fan engine is flat rated to give it the widest possible range of operation, keeping within its defined structural limits, especially in dense air."
201,"Chapter 2","When and where is a jet/gas turbine (bypass) engine at its most efficient, and why?","At high altitudes and high rpm speeds."
202,"Chapter 2","Why does a jet aircraft climb as high as possible?","Jet aircraft climb as high as possible... because the gas turbine (bypass) engines are most efficient when their compressors are operating at high rpms, approximately 90 to 95 percent... This high rpm speed can be achieved only at high altitudes where air density is low."
203,"Chapter 2","What advantages does a jet-engined aircraft gain from flying at a high altitude?","1. Best specific fuel consumption (SFC)/increased endurance. 2. Higher true airspeed (TAS) for a constant IAS, providing increased range."
204,"Chapter 2","Explain the jet/gas turbine engine's thrust-to-thrust lever position.","The thrust lever produces more engine thrust from its movement near the top of its range than the bottom. An inch movement near bottom might produce 600 lb thrust, near top 6000 lb."
205,"Chapter 2","What are the main engine instruments?","1. Engine pressure ratio (EPR) gauge. 2. N1 gauge. 3. Exhaust gas temperature (EGT). 4. N2 gauge. 5. Fuel flow. Secondary: Oil temp/pressure/quantity, Vibration meter."
206,"Chapter 2","What is engine pressure ratio (EPR)?","Engine pressure ratio (EPR) is the ratio of air pressure measurements taken from two or three different engine probes (e.g., jet pipe pressure to compressor inlet pressure) and displayed on the EPR gauge for setting engine thrust."
207,"Chapter 2","What is exhaust gas temperature (EGT), and why is it an important engine parameter?","EGT is exhaust gas temperature and is an important engine parameter because it is a measure/indication of the temperatures being experienced by the turbine (operating threat to engine life)."
208,"Chapter 2","Describe an engine wet start and its causes, indications, and actions.","A failure to start after fuel delivery (ignition problem). Indications: EGT does not rise, rpms stabilize. Actions: Close fuel lever, motor engine to blow out fuel."
209,"Chapter 2","Describe an engine hung start and its causes, indications, and actions.","Occurs when engine ignites but does not reach self-sustaining rpms (insufficient airflow). Indications: High EGT, rpms below normal. Actions: Close fuel lever, motor engine."
210,"Chapter 2","Describe an engine hot start and its causes, indications, and actions.","Engine ignites and reaches self-sustaining rpms, but combustion is unstable and EGT rises rapidly past limit. Causes: Overfueling, blocked intake/exhaust, tailwind, seized engine. Actions: Close fuel lever before EGT limit, motor engine."
211,"Chapter 2","What is a variable/reduced-thrust takeoff?","A variable/reduced-thrust takeoff uses the takeoff thrust required for the aircraft's actual takeoff weight, which is a reduced thrust value from the maximum takeoff weight thrust value."
212,"Chapter 2","Can a maximum takeoff weight aircraft use a reduced takeoff technique?","Yes, a reduced-thrust takeoff can be used even when an aircraft is at its maximum takeoff structural weight, providing the TOR/D is not limiting (trading momentum for thrust)."
213,"Chapter 2","Why do you use reduced derated thrust takeoffs in a jet aircraft?","1. To protect engine life and to improve engine reliability. 2. To reduce the noise generated by the aircraft."
214,"Chapter 2","Why is the risk per flight decreased with a reduced-thrust takeoff?","1. Actual takeoff distance is less than full thrust/weight calculation. 2. Improved acceleration-stop distance (full reverse thrust effectiveness). 3. Continued takeoff protection (ability to restore full power)."
215,"Chapter 2","What are the limitations of a variable/reduced-thrust (flex) takeoff?","1. Not maximum takeoff weight limited by field length, WAT curve, or obstacle clearance. 2. Max OAT limitation. 3. Flex temp < Tmax, Flex temp > Tref (flat rating), Flex thrust > Max continuous thrust, Flex temp > Actual OAT. 4. Not on icy/slippery/contaminated runways, or with inop reverse thrust/antiskid."
216,"Chapter 2","What happens to engine pressure ratio (EPR) on the takeoff roll?","Initially decreases because compressor inlet pressure (P2) increases faster than jet pipe pressure (P7) due to lag. Then increases steadily to takeoff setting as engine accelerates."
217,"Chapter 2","Why does engine pressure ratio (EPR) need to be set by 40 to 80 knots on the takeoff role?","1. So that the pilot is not chasing rpm needles. 2. To ensure adequate aircraft acceleration so calculated V1 and VR speeds are achieved by the takeoff run required."
218,"Chapter 2","What is an engine windmill start, and when is it used?","A windmill start occurs when the engine is started without the aid of the starter because the compressors are being turned by a natural airflow when airborne. Used to relight an engine when airborne."
219,"Chapter 2","What is the purpose of engine relight boundaries?","To ensure that the correct proportion of air is delivered to the engine's combustion chamber to restart the engine in flight."
220,"Chapter 2","What causes a jet/gas turbine upset, and how do you correct it?","Disturbed or turbulent airflow (beyond normal angles of incidence/slip) causes the engine to stall. Identified by TGT increase, vibration, rpm fluctuations."
221,"Chapter 2","What is a jet engine surge, what causes it, and what are the indications?","A surge is the reversal of airflow through an engine. Caused by compressor stall or excessive fuel flow. Indications: Total loss of thrust, large increase in TGT. Actions: Close throttles, adjust attitude, reopen throttles slowly."
222,"Chapter 2","Why are bleed valves fitted to gas turbine engines?","1. To provide bleed air for auxiliary systems (air conditioning, cooling, anti-icing). 2. To regulate the correct airflow pressures between different engine sections."
223,"Chapter 2","Why do gas turbine engines have auto igniters, and how do they work?","To protect against disturbed/turbulent airflow upsetting the engine (common with rear-mounted engines). They work by sensing aircraft incidence and automatically signaling ignition before disturbed airflow affects the engines."
224,"Chapter 2","What is FADEC?","FADEC is full authority digital engine control and is a system that automatically controls engine functions, i.e., start procedures, engine monitoring, fuel flow, ignition, and power levels."
225,"Chapter 2","What fuels are used commonly for civil jet aircraft?","1. Jet A1 (Avtur): Kerosene-type, SG 0.8, freezing point -50C. 2. Jet A: Similar to A1 but freezing point -40C (US)."
226,"Chapter 2","How do jet/gas turbine engines generate noise?","The noise generated is from the sheer effect of different displaced air velocities (jet's faster air vs. ambient air)."
227,"Chapter 2","How is jet/gas turbine engine noise controlled or reduced?","1. Bypass engines (reduces sheer effect). 2. Reduced-thrust takeoff. 3. Maximum-angle climb after takeoff."
228,"Chapter 2","is there a critical engine on a jet/gas turbine aircraft?","There is no critical gas turbine engine because the engines are positioned symmetrically with opposing revolution direction."
229,"Chapter 2","Describe a typical aircraft fire detection and protection system.","1. Overheat/fire detection loops with multisensors. 2. Fault monitoring system. 3. Fire extinguishers and firing circuits (min 2 bottles per engine). 4. Testing facility. 5. Lavatory/cargo smoke detection."
230,"Chapter 2","What are the indications of thermal expansion and use of the fire bottles on the side of the aircraft fuselage?","Separate disks on the fuselage side. If intact, extinguishent is still in bottle. One disk for thermal expansion release, one for use."
231,"Chapter 2","Describe a typical engine fire drill.","(See Chapter 9, 'Flight Operations and Technique,' page 288.)"
232,"Chapter 3","Describe the approach differences between a jet and a piston engine propeller aircraft.","There are six main handling differences... 1. Momentum: The jet aircraft has a greater momentum... 2. Speed stability: The jet aircraft suffers from poor speed stability... 3. Wing lift values: The jet aircraft's swept wing produces less lift... 4. Engine response rate... 5. Slipstream effects... 6. Power-on stall speed..."
233,"Chapter 3","Explain the (low) speed control difference between a jet aircraft and a propelier-driven aircraft.","The speed control for both jet and propeller-driven aircraft is a function of drag against speed... The jet aircraft's relatively flat drag curve over the low speed range makes it difficult to select the correct thrust... In contrast, the propeller-driven aircraft's drag curve is markedly different..."
234,"Chapter 3","What speed stability differences are there between a jet aircraft and a propeller-driven aircraft?","The jet aircraft's speed stability is much poorer... 1. The jet's recommended threshold speed tends to be in the neutral or unstable speed range. 2. Thrust changes with speed, which helps to improve the speed stability on propeller-driven aircraft and does not improve it on jet aircraft."
235,"Chapter 3","Describe the difference between a jet and a piston-engined propeller aircraft's stali speed.","The stall speed of a piston-engined propeller aircraft generally is a slower speed than that of a jet aircraft. Also, the range of the stall speeds is much larger for a jet aircraft than for a piston-engined propeller aircraft."
236,"Chapter 3","Describe the differences between propeller and jet aircraft wing performance.","The performance margin of a propeller-driven aircraft's straight wing is greater than that of a jet aircraft's swept wing, especially when contaminated. The reason... is that the wing is unswept and there is a high-energy airflow (prop wash) over the upper surface..."
237,"Chapter 4","What is true direction?","True direction is measured with reference to true north."
238,"Chapter 4","What is magnetic direction?","Magnetic direction is measured with reference to magnetic north."
239,"Chapter 4","What is magnetic variation?","Variation is the difference between the direction of magnetic north and true north. It is therefore the difference between all true headings and their corresponding magnetic headings at any point."
240,"Chapter 4","What is compass direction?","Compass direction is measured with reference to compass north. Compass north is the deviated direction away from magnetic north indicated by a compass needle."
241,"Chapter 4","What is compass deviation?","Deviation is the difference between the direction of magnetic north and compass north."
242,"Chapter 4","What are the lines that run from pole to pole on the earth called?","Meridians of longitude run from pole to pole and converge at both poles."
243,"Chapter 4","How do you measure a change of latitude?","A change of latitude, i.e., north-south distances, along a meridian of longitude is measured as 1 nautical mile equals 1 minute (60 minutes = 1 degree)."
244,"Chapter 4","What are the lines that run east-west on the earth called?","Parallels of latitude run east-west on the earth. Parallels of latitude are described by their angle above or below the equator."
245,"Chapter 4","How do you measure a change of longitude?","A change of longitude, i.e., east-west distance, (along a parallel of latitude) has a varied distance (nautical miles) per degree at different latitudes."
246,"Chapter 4","What is departure?","Departure is an east-west distance along a parallel line of latitude, other than the equator, that requires the use of the following formula: Departure (nautical miles) = change of longitude (minutes) * cosine of latitude."
247,"Chapter 4","What is a great circle track?","A great circle track is a line of shortest distance between two points on a sphere (or a flat surface) with a constantly changing track direction as a result of convergence."
248,"Chapter 4","What is a rhumb line?","Rhumb lines are tracks with a constant track direction between two points on a sphere and therefore must be a longer distance than a great circle track."
249,"Chapter 4","What is convergency?","Convergency represents the change of direction experienced along east-west tracks, except rhumb lines, as a result of the way direction is measured due to the effects of converging meridians at the poles."
250,"Chapter 4","What is a conversion angle?","Conversion angle is the angle of difference in direction between the rhumb line and the great circle track between two points."
251,"Chapter 4","What is chart scale?","Scale is defined as the ratio of chart distance to earth distance."
252,"Chapter 4","Describe the doppler effect.","Doppler effect is the change of frequency between the transmitted and received signals, known as Doppler shift, due to movement of the transmitter."
253,"Chapter 4","What is an airborne Doppler system?","Doppler is a self-contained onboard radio/radar navigation system... used to mathematically calculate the ground speed of an aircraft."
254,"Chapter 4","What is an INS/IRS?","An INS is an onboard self-contained inertia navigation system that can provide continuous information on an aircraft's position without any external assistance. An IRS (inertia reference system) is a modern INS that usually has a greater integration into the flight management system (FMS)."
255,"Chapter 4","How does an INS/IRS work?","The general principle of all inertia navigation systems (INSs) is that the system measures the aircraft's inertia movement from an initial position... Components: 1. Accelerometers 2. Gyroscopes 3. Position computer."
256,"Chapter 4","How does an INS/IRS find true north?","An inertia navigation system (INS) is aligned to true north by its gyroscopes."
257,"Chapter 4","How does an INS/IRS find magnetic north?","INS/IRS systems find magnetic north by applying a stored magnetic variation to the calculated true north."
258,"Chapter 4","What are the advantages of an INS?","1. It is a totally global system. 2. It is a completely self-contained system. 3. It is a very accurate system. 4. Ring laser gyroscopes advantages (short warmup, no wander, no precession, extreme accuracy)."
259,"Chapter 4","What are the disadvantages of an INS?","Errors: 1. Bounded errors (Schuler loop, North alignment error). 2. Unbounded errors (Initial position errors, North alignment error). 3. Inherent system errors (Height diff, Earth shape)."
260,"Chapter 4","Describe GPS.","The Global Positioning System (GPS) is the U.S. Department of Defense (DoD) satellite system for worldwide navigation. The GPS consists of 24 satellites... Four satellites will always be in line-of-sight range..."
261,"Chapter 4","What are the advantages of the GPS?","1. Truly global. 2. High-capacity use. 3. High-redundant satellite capacity system. 4. Built-in confirmation. 5. Cornerstone of future air navigation systems... 6. Integration capability. 7. Accurate. 8. Great circle tracks. 9. Free."
262,"Chapter 4","What are the disadvantages of the GPS?","1. Downgrading of the system's accuracy, i.e., selective availability (discontinued in 2000). 2. System errors (Clock bias, Satellite ephemeris, Ionosphere propagation, Instrument/receiver, Satellite geometry, Signal jamming)."
263,"Chapter 4","What is differential GPS?","Differential global positioning is a more accurate global positioning system (GPS) than a normal GPS. It applies a correction factor... to eliminate significant errors."
264,"Chapter 4","How does differential GPS work?","GPS signals are received at a ground installation... The ground installation then computes the differences... It then sends a differential correction factor to any aircraft within 70 nautical miles..."
265,"Chapter 4","How is an INS/IRS better than GPS, especially for navigation information?","1. The downgrading imposed on the normal GPS. 2. An INS/IRS is the only truly onboard self-contained system; therefore, it is not prone to external influences."
266,"Chapter 4","What do you know about FANS?","Future air navigation systems (FANS) is the development of future navigation-based systems... FANS is not a single specific system but the ongoing development of several navigation-based systems..."
267,"Chapter 4","What is R Nav?","R Nav is a form of onboard area navigation aircraft equipment that uses either a basic VOR/DME system or other position sensors... to position a waypoint... A series of waypoints is used to define an area navigation route."
268,"Chapter 4","What do you know about the free-flight concept?","The free-flight concept is an air traffic management (ATM) system... It will allow pilots and airlines to set their own direct routes, altitudes, and speeds away from the restrictions of airways."
269,"Chapter 4","What is decca?","Decca is a medium-range... navigation system that uses ground-based beacons... uses hyperbolic position lines..."
270,"Chapter 4","What is omega?","Omega is a long-range global navigation system that uses ground-based beacons and operates in the very low frequency (VLF) band."
271,"Chapter 4","What is rho rho rho omega?","Some omega systems use omega stations in a phase-measurement mode... which creates circular position lines... This principle is based on range and is called rho rho fixing... or rho rho rho fixing..."
272,"Chapter 4","What is Loran C?","Loran C is a long-range navigation system that uses ground-based beacons that operate in the low-frequency (LF) band."
273,"Chapter 4","Describe VHF directional finding (VDF).","VHF directional-finding (VDF) uses communication radio waves and does not require any additional instrumentation in the cockpit. It can be requested from air traffic control (ATC)..."
274,"Chapter 4","Give the following Q definitions.","QUJ: True bearing to the station. QTE: True bearing from the station. QDR: Magnetic bearing (radial) from the station. QDM: Magnetic bearing (radial) to the station."
275,"Chapter 4","What is a QGH letdown?","A QGH is a type of VHF directional-finding (VDF) letdown... The controller passes headings to steer and descent instructions to the pilot, similar to a radar letdown."
276,"Chapter 4","Describe how an NDB/ADF system works.","A nondirectional beacon (NDB) is a medium-range radio navigational aid that sends out a signal in all directions... The automatic direction finder (ADF) is a needle indicator fitted in the aircraft that shows the direction to the selected NDB."
277,"Chapter 4","What is the range of an NDB?","The range of a beacon is controlled primarily by its power... Range over land = 3 * sqrt(power). Range over sea = 9 * sqrt(power)."
278,"Chapter 4","What are the errors of an NDB/ADF?","1. Interference 2. Static 3. Night effect 4. Coastal refraction 5. Mountain effect 6. Aircraft quadrantal error 7. Synchronistic transmission."
279,"Chapter 4","What is an ADF beat frequency oscillator used for?","A beat frequency oscillator (BFO) is selected... when identifying any nondirectional beacons (NDBs) that use unmodulated carrier waves... It imposes a tone onto the carrier wave to make it audible."
280,"Chapter 4","What is a VOR, and how does it work?","A VHF omni range (VOR) is a short-range sophisticated and accurate VHF navigational radio aid that outwardly generates specific track/position lines... A VOR ground transmitter radiates line-of-sight signals in all directions."
281,"Chapter 4","What is the range of a VOR?","Its theoretical maximum range... is equal to 1.25 * sqrt(H1) + 1.25 * sqrt(H2) where H1 is transmitter height and H2 is receiver height."
282,"Chapter 4","What errors do a VOR experience?","1. Equipment errors. 2. Site error. 3. Propagation errors (Scalloping, atmospheric ducting)."
283,"Chapter 4","What has the furthest range, a VOR or an NDB?","A nondirectional beacon (NDB) in theory has the farthest range because of its surface-wave propagation path... compared with the VOR's line-of-sight propagation path."
284,"Chapter 4","Describe an instrument landing system (ILS) and how it works.","The instrument landing system (ILS) is a precision approach radio aid... An ILS has two separate ground transmitters: 1. The localizer (azimuth)... 2. The glide slope (elevation)."
285,"Chapter 4","What is an ILS backcourse approach?","Some ILS installations provide a mirror image of the localizer beam on the reciprocal runway known as a backcourse beam. Like any mirror image, right is left and left is right..."
286,"Chapter 4","What errors does an ILS experience?","1. False glide slope (mirror 150-Hz side lobe). 2. Phantom signals. 3. Backcourse approaches (reverse indications)."
287,"Chapter 4","What is MLS?","The microwave landing system (MLS) is a development of the ILS... but provides the ability to fly a curved or off-center localizer beam and/or a curved or varied glide slope angle."
288,"Chapter 4","How does MLS work?","The MLS has a narrow, fan-shaped azimuth beam... that sweeps to and fro... The time interval between the two scans is therefore a direct indication of the aircraft's position."
289,"Chapter 4","What are the advantages of the MLS?","1. Varied-approach localizer and glide slope. 2. Not sensitive to reflections from terrain. 3. More transmitting channels (200)."
290,"Chapter 4","Describe the DME system and how it works.","Distance-measuring equipment (DME) is a form of secondary radar that gives continuous distance readout... DME consists of an onboard aircraft interrogator and a ground beacon transponder."
291,"Chapter 4","How is DME information used?","1. Paired VOR/DME (en route position). 2. Paired with ILS (distance to threshold). 3. DME arc procedure. 4. Circle position line."
292,"Chapter 4","What error does DME experience?","Slant-range error. This is particularly evident when close to the beacon."
293,"Chapter 4","What does radar stand for?","Radio detection (direction) and ranging."
294,"Chapter 4","Describe primary (pulse) radar, and how it works.","Primary (pulse) radar works on the reflected signal principal. When transmitted electromagnetic radio energy encounters an object, it is reflected back..."
295,"Chapter 4","What affects the range of primary pulse radar?","Atmospheric attenuation, antenna power, and the height of the aircraft."
296,"Chapter 4","Describe secondary (surveillance) radar, and how it works.","Secondary radar works on the respondent-reply signal principle. It requires the active participation of an aircraft... using an active onboard device called a transponder."
297,"Chapter 4","Describe the functions of a transponder.","1. Code selection. 2. Transmission function switch (STDBY, ON, LOW SENS, ALT, TST). 3. Reply/monitor light. 4. Ident switch. 5. System switch. 6. Fault light."
298,"Chapter 4","What are the advantages of secondary radar?","1. Positive identification (Mode A). 2. Abnormal situations (codes). 3. Altitude/ground speed reporting (Mode C). 4. Ident."
299,"Chapter 4","How does an isoecho radar work?","An isoecho radar, also known as a weather radar... uses a pulse radar technique... returns reflected back off water droplets... stronger returns... displayed as hollow centers."
300,"Chapter 4","How do you calculate cloud tops (formula)?","Height of cloud tops relative to the aircraft = Range (in feet) * (weather radar scanner tilt - beam width/2) / 60."
301,"Chapter 4","What is AGC on weather radar?","AGC is automatic gain control. AGC makes the system less sensitive to short-range returns so that it provides an even overall picture."
302,"Chapter 4","On a color weather radar display, what colors represent the areas of greatest turbulence?","Thunderstorms appear as red cores, and areas of maximum turbulence appear as magenta."
303,"Chapter 3","Describe the approach differences between a jet and a piston engine propeller aircraft.","There are six main handling differences between a jet aircraft and a propeller aircraft on the landing approach[cite: 3371]. The six main differences involve aerodynamics and the engines[cite: 3373]. 1. Momentum: The jet aircraft has a greater momentum than the lighter and slower propeller-driven aircraft[cite: 3374]. 2. Speed stability: The jet aircraft suffers from poor speed stability being an inducement to a low-speed condition[cite: 3376]. 3. Wing lift values: The jet aircraft's swept wing produces less lift than the propeller aircraft's straight wing[cite: 3377]. 4. Engine response rate/acceleration and deceleration: The jet engine has a poorer acceleration response at low-rpm speeds known as lag[cite: 3380]. 5. Slipstream effects: The propeller slipstream produces an immediate extra lift value over the wings at a constant airspeed but is absent on jet aircraft[cite: 3386]. 6. Power-on stall speed: The stall speed is significantly lower when the engine power is increased or on for a propeller aircraft... For a jet aircraft, which does not produce a slipstream over the wing, the stall speed is virtually unchanged with its power on[cite: 3387, 3388]."
304,"Chapter 3","Explain the (low) speed control difference between a jet aircraft and a propelier-driven aircraft.","The speed control for both jet and propeller-driven aircraft is a function of drag against speed[cite: 3390]. The jet aircraft's relatively flat drag curve over the low speed range makes it difficult to select the correct thrust for the required speed because of the minimal difference in thrust required values across a large speed range[cite: 3394]. Therefore, it is easy to select an incorrect speed control thrust setting, and any slight difference, whether higher or lower, will set up a speed divergence that is also difficult to detect[cite: 3395]. In contrast, the propeller-driven aircraft's drag curve is markedly different across its low-speed range, and therefore, it is much easier to determine and set the correct power to balance the drag and to deliver the desired speed[cite: 3398]."
305,"Chapter 3","What speed stability differences are there between a jet aircraft and a propeller-driven aircraft?","The jet aircraft's speed stability is much poorer than that of a propeller-driven aircraft because of the following two main differences [cite: 3403]: 1. The jet's recommended threshold speed (i.e., 1.4 Vs) tends to be in the neutral or unstable speed range[cite: 3404]. 2. Thrust changes with speed, which helps to improve the speed stability on propeller-driven aircraft and does not improve it on jet aircraft[cite: 3405]."
306,"Chapter 3","Describe the difference between a jet and a piston-engined propeller aircraft's stali speed.","The stall speed of a piston-engined propeller aircraft generally is a slower speed than that of a jet aircraft[cite: 3408]. Also, the range of the stall speeds is much larger for a jet aircraft than for a piston-engined propeller aircraft[cite: 3409]."
307,"Chapter 3","Describe the differences between propeller and jet aircraft wing performance.","The performance margin of a propeller-driven aircraft's straight wing is greater than that of a jet aircraft's swept wing, especially when contaminated[cite: 3411]. The reason for the improved relative performance on a propeller-driven aircraft is that the wing is unswept and there is a high-energy airflow (prop wash) over the upper surface of the wing that partly offsets some of the contaminant effects[cite: 3412]. On a jet, the available performance margin with a contaminated wing is practically zero for two main reasons[cite: 3413]. First, there is no upper-surface high-energy flow available. Second, the wing sweep decreases the amount of lift generated for a given angle of attack relative to the straight wing...[cite: 3414]."
308,"Chapter 5","What is the aviation definition of height?","Height is the measured distance above the ground (i.e., QFE)."
309,"Chapter 5","What is the aviation definition of altitude?","Altitude is the measured distance above the local pressure setting (i.e., QNH) or altitude above mean sea level (MSL)."
310,"Chapter 5","What is the aviation definition of a flight level?","Flight level is the measured pressure level above the 29.92-in/1013-millibar datum."
311,"Chapter 5","What does ISA stand for?","International standard atmosphere."
312,"Chapter 5","What are the ICAO ISA conditions at sea level?","Temperature: +15°C [environmental lapserate (ELR), -2°C per 1000 ft]. Pressure: 29.92 inches of mercury or 1013 hectopascals (millibars) (decreases with altitude). Density: 1225 g/m³ (density is influenced by temperature and pressure)."
313,"Chapter 5","What is air pressure?","Air pressure is the weight of a column of air or the gravity force of air molecules. Air pressure is influenced by gravity and is proportional to density. Therefore, air pressure decreases with a rise in altitude."
314,"Chapter 5","How many feet are in a millibar (hectopascal)?","The number of feet in a millibar or hectopascal is variable because the rate that the pressure changes with height is variable... The formula used to find the size of 1 millibar is 96 * absolute temperature / altitude pressure (millibars)."
315,"Chapter 5","How many inches of mercury to a millibar?","0.0295 inch of mercury equals 1 hectopascal/millibar."
316,"Chapter 5","What is pressure altitude?","Pressure altitude or pressure height is the international standard atmosphere (ISA) height above the 29.92-in/1013 millibar pressure datum, at which the pressure value experienced represents that of the level under consideration."
317,"Chapter 5","How do you calculate the pressure altitude's actual height?","To calculate a pressure altitude's actual height, you have to calculate the difference between the regional QNH and the 29.92-in/1013-millibar pressure datum. Then convert this pressure difference into a height, which you then add or subtract from the pressure altitude..."
318,"Chapter 5","Why do you need to calculate the actual height of a pressure altitude?","1. Ground clearance. 2. Calculating the performance capabilities of the aircraft."
319,"Chapter 5","What pressure altitude error is commonly experienced?","Barometric pressure error on the altimeter. Barometric pressure error is the effect of flying into an area with a different sea level pressure that gives rise to an incorrect altimeter reading."
320,"Chapter 5","What is ISA temperature deviation?","International standard atmosphere (ISA) temperature deviation is the measurement of the actual temperature against the ISA temperature for the corresponding altitude. Temperature deviation is expressed as ISA +/- deviation."
321,"Chapter 5","If you were at 33,000 ft with an outside air temperature (OAT) of -45°C, what is the temperature deviation from international standard atmosphere (IAS)?","ISA temperature at 33,000 ft is -51°C. Actual temperature minus ISA temperature is -45°C - (-51°C) = +6°C. Therefore, temperature deviation at 33,000 ft is ISA +6°C."
322,"Chapter 5","What is density?","Density is defined as mass per unit volume of a substance."
323,"Chapter 5","What is density altitude?","Density altitude is the altitude above the 1013-millibar/29.92-in datum, at which the air density value experienced represents that of the level under consideration."
324,"Chapter 5","What are the main influences on air density?","1. Temperature 2. Pressure 3. Humidity. Temperature is the main influence on air density for a given pressure altitude."
325,"Chapter 5","How does the variation of air density due to temperature affect an aircraft's performance?","A warmer than international standard atmosphere (ISA) temperature for a given altitude causes a decrease in air density, which causes a decrease in the performance level of the aircraft's engines and a decrease in aerodynamic performance..."
326,"Chapter 5","What density errors are commonly experienced?","Altitude error and air-speed error. Density for a particular pressure altitude is affected by temperature such that an altitude error will exist when the actual temperature experienced is different from the ISA temperature."
327,"Chapter 5","What is static pressure?","Static pressure is the equal weight of all the air molecules at any one point in the atmosphere. Static pressure... does not involve any motion of the body relative to the air..."
328,"Chapter 5","What is dynamic pressure?","Dynamic pressure is the pressure (over and above the static pressure) of the air molecules impacting onto a surface caused by either the movement of a body (e.g., an aircraft) through the air or the air flowing over a stationary object."
329,"Chapter 5","Describe IAS.","Indicated airspeed (IAS) is a measure of dynamic pressure translated to a speed and displayed to the pilot on the airspeed indicator (ASI) usually as knots per hour."
330,"Chapter 5","Describe RAS/CAS.","Calibrated airspeed (CAS)... or rectified airspeed (RAS)... is indicated airspeed (IAS) corrected for instrument and pressure errors."
331,"Chapter 5","Describe EAS.","Equivalent airspeed (EAS) is rectified airspeed (RAS) corrected for compressibility error."
332,"Chapter 5","Describe TAS.","True airspeed (TAS) is simply the actual speed of an aircraft through the air mass in which it is flying. TAS therefore depends on the air density properties of the air mass in which the aircraft is flying."
333,"Chapter 5","Describe ground speed.","Ground speed is the actual speed of an aircraft relative to the ground. Ground speed is a combination of 1. True airspeed... 2. Wind velocity..."
334,"Chapter 5","Describe LSS.","LSS is the local speed of sound. The speed of sound, Mach 1.0, does not remain a constant value of knots per hour because it is influenced by temperature..."
335,"Chapter 5","How does temperature affect the LSS?","As temperature decreases, the local speed of sound (LSS) decreases."
336,"Chapter 5","Describe Mach number.","Mach number is the true airspeed (TAS) of an aircraft, given as a percentage relative to the local speed of sound (LSS) and displayed to the pilot on the Mach meter instrument."
337,"Chapter 5","How do you calculate Mach number?","Mach number (MN) is a calculation of the true airspeed (TAS) relative to the local speed of sound (LSS): MN = TAS / LSS."
338,"Chapter 5","What is the main influence on Mach number?","Temperature. As temperature decreases, the local speed of sound (LSS) decreases. If the LSS decreases for a constant true air speed (TAS), then the Mach number must rise."
339,"Chapter 5","What happens to the indicated Mach number (MN) in a long-range cruise as weight decreases at the same flight level (FL)?","It decreases."
340,"Chapter 5","What happens to your calculated airspeed (CAS) or indicated airspeed (IAS) if you descend at a constant true airspeed (TAS)?","The CAS (IAS) will increase. This is so because pressure increases with a decrease in altitude due to the gravity effect... Therefore, density increases... which means the CAS (IAS) increases in a descent at a constant TAS."
341,"Chapter 5","What happens to your true airspeed (TAS) if you climb at a constant calibrated airspeed (CAS) or indicated airspeed (IAS)?","The TAS will increase. This is so because air density decreases with altitude..."
342,"Chapter 5","What happens to your Mach number (MN) if you climb at a constant calibrated airspeed (CAS) or indicated airspeed (IAS)?","The MN will increase. This is so because true airspeed (TAS) increases because air density decreases with altitude and the local speed of sound (LSS) decreases because of a reduction in air temperature..."
